time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
2,1,0,0,1
52,36,0,0,26
102,71,0,0,53
152,98,0,0,71
205,112,0,0,76
255,148,0,0,105
306,150,0,28,96
356,150,0,53,87
406,150,0,87,73
456,150,0,116,61
509,150,0,141,48
560,150,0,170,38
610,155,0,251,33
669,179,0,252,48
719,200,0,252,60
769,218,0,252,69
820,242,0,252,86
871,270,0,252,103
921,299,0,252,123
974,300,0,282,114
1025,300,0,323,104
1081,300,0,345,92
1133,300,0,371,83
1185,300,0,396,74
1235,314,0,406,76
1285,336,0,411,87
1335,357,0,418,95
1385,379,0,431,109
1435,396,0,441,117
1487,425,0,442,136
1538,450,0,454,151
1589,450,0,477,142
1639,450,0,500,133
1690,450,0,535,123
1740,450,0,564,115
1791,450,0,596,106
1842,467,0,604,114
1892,489,0,616,127
1946,508,0,631,136
1999,534,0,643,153
2050,547,0,657,155
2100,576,0,657,175
2150,600,0,664,191
2201,600,0,690,183
2251,600,0,718,175
2301,600,0,751,165
2352,600,0,774,158
2402,600,0,807,150
2452,621,0,814,157
2502,640,0,820,168
2554,662,0,826,181
2605,685,0,831,194
2657,699,0,861,200
2707,723,0,864,218
2757,750,0,873,236
2807,750,0,894,221
2857,750,0,925,212
2908,750,0,958,204
2959,750,0,993,192
3009,750,0,1027,182
3070,767,0,1030,190
3120,792,0,1030,204
3177,816,0,1042,219
3229,841,0,1042,234
3284,857,0,1052,240
3335,882,1,1052,250
3386,890,16,1052,249
3442,900,34,1053,249
3493,900,34,1082,241
3543,900,34,1102,231
3594,900,34,1131,221
3644,909,34,1155,220
3694,928,34,1160,231
3744,955,34,1168,250
3795,963,62,1168,250
3845,972,83,1168,250
3895,984,105,1168,250
3947,998,120,1168,249
3998,1011,137,1168,250
4049,1017,159,1168,250
4104,1031,177,1168,248
4155,1042,200,1168,250
4205,1050,214,1171,247
4257,1060,214,1184,247
4307,1070,221,1184,250
4357,1079,237,1184,250
4407,1087,243,1184,249
4459,1097,256,1184,250
4512,1109,266,1184,250
4563,1120,283,1184,250
4617,1129,309,1184,250
4667,1137,333,1184,250
4717,1145,358,1184,250
4771,1154,375,1184,250
4821,1164,388,1184,249
4873,1174,414,1184,250
4924,1184,430,1184,250
4975,1195,448,1184,250
5026,1203,462,1184,249
5076,1214,475,1184,250
5130,1224,537,1184,250
5180,1233,553,1184,250
5230,1241,575,1184,250
5280,1250,589,1184,250
5330,1260,606,1184,250
5380,1271,626,1184,250
5432,1280,655,1184,250
5483,1289,669,1184,250
5534,1296,684,1184,250
5586,1305,697,1184,250
5636,1316,727,1184,250
5686,1324,747,1184,250
5738,1335,761,1184,250
5789,1346,769,1184,250
5839,1353,788,1184,250
5891,1364,802,1184,250
5941,1376,816,1184,249
5991,1386,837,1184,250
6044,1395,865,1184,250
6094,1404,881,1184,250
6144,1416,895,1184,250
6195,1423,911,1184,250
6247,1430,935,1184,250
6297,1441,962,1184,250
6347,1455,982,1184,250
6397,1463,999,1184,250
6448,1473,1027,1184,250
6498,1480,1049,1184,250
6548,1492,1069,1184,249
6600,1503,1094,1184,250
6651,1516,1110,1184,249
6701,1527,1128,1184,250
6751,1538,1140,1184,250
6802,1546,1162,1184,250
6852,1557,1210,1184,250
6902,1566,1250,1184,250
6952,1575,1279,1184,250
7002,1585,1290,1184,250
7052,1600,1303,1184,249
7106,1614,1321,1184,250
7158,1625,1336,1184,250
7208,1634,1348,1184,250
7258,1643,1374,1184,250
7308,1655,1393,1184,250
7359,1667,1406,1184,250
7411,1677,1430,1184,249
7462,1689,1445,1184,250
7513,1697,1471,1184,249
7565,1709,1485,1184,250
7615,1722,1495,1184,250
7670,1735,1556,1184,250
7720,1744,1580,1184,250
7770,1755,1598,1184,250
7820,1764,1621,1184,250
7873,1779,1639,1184,249
7926,1789,1657,1184,250
7976,1799,1668,1184,250
8026,1808,1690,1184,250
8076,1816,1712,1184,250
8126,1827,1731,1184,249
8176,1836,1755,1184,250
8226,1848,1773,1184,250
8279,1859,1796,1184,250
8331,1867,1817,1184,250
8382,1876,1840,1184,250
8432,1888,1854,1184,250
8483,1898,1874,1184,250
8534,1908,1900,1184,250
8587,1916,1916,1184,249
8637,1923,1945,1184,250
8687,1932,1952,1184,249
8737,1943,1970,1184,250
8793,1953,2001,1184,250
8847,1966,2015,1184,249
8897,1976,2042,1184,250
8948,1985,2070,1184,250
9000,1996,2090,1184,250
9050,2006,2106,1184,249
9101,2018,2117,1184,250
9153,2027,2142,1184,250
9204,2035,2161,1184,250
9254,2045,2174,1184,250
9304,2055,2196,1184,250
9357,2062,2217,1184,250
9407,2072,2236,1184,250
9458,2084,2251,1184,249
9509,2096,2266,1184,250
9560,2106,2284,1184,250
9611,2116,2302,1184,250
9663,2124,2319,1184,250
9713,2134,2330,1184,249
9765,2144,2349,1184,250
9818,2155,2363,1184,250
9868,2164,2393,1184,250
9918,2171,2415,1184,250
9970,2177,2434,1184,250
10025,2186,2459,1184,249
10078,2197,2491,1184,250
10130,2205,2514,1184,250
10180,2214,2537,1184,250
10232,2223,2543,1184,250
10282,2233,2563,1184,250
10332,2243,2589,1184,250
10383,2253,2605,1184,250
10433,2265,2622,1184,250
10486,2274,2649,1184,250
10536,2286,2663,1184,250
10586,2296,2676,1184,248
10637,2305,2703,1184,249
