time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
2,1,0,0,1
52,36,0,0,5
102,71,0,0,1
152,98,0,0,1
205,112,0,0,1
255,148,0,0,2
306,178,0,0,1
356,200,0,3,0
406,200,0,37,0
456,200,0,66,0
509,200,0,91,0
560,200,0,120,0
610,200,0,206,0
669,200,0,231,0
719,207,0,245,1
769,225,0,245,1
820,249,0,245,1
871,277,0,245,3
921,306,0,245,1
974,337,0,245,3
1025,378,0,245,1
1081,400,0,245,1
1133,400,0,271,0
1185,400,0,296,0
1235,400,0,320,0
1285,400,0,347,0
1335,400,0,375,0
1385,400,0,410,0
1435,413,0,424,2
1487,434,0,433,1
1538,454,0,450,0
1589,476,0,451,1
1639,499,0,451,2
1690,534,0,451,2
1740,563,0,451,3
1791,595,0,451,1
1842,600,0,471,0
1892,600,0,505,0
1946,600,0,539,0
1999,600,0,577,0
2050,600,0,604,0
2100,600,0,633,0
2150,616,0,648,1
2201,635,0,655,1
2251,660,0,658,1
2301,677,0,674,1
2352,700,0,674,1
2402,733,0,674,2
2452,761,0,674,5
2502,786,0,674,2
2554,800,0,688,0
2605,800,0,716,0
2657,800,0,760,0
2707,800,0,787,0
2757,800,0,823,0
2807,802,0,842,1
2857,819,0,856,0
2908,837,0,871,1
2959,862,0,881,1
3009,879,0,898,1
3070,899,0,898,1
3120,924,0,898,2
3177,960,0,898,1
3229,985,0,898,1
3284,1000,0,909,0
3335,1000,0,935,0
3386,1000,0,958,0
3442,1000,0,987,0
3493,1000,0,1016,0
3543,1012,0,1024,2
3594,1031,0,1034,0
3644,1051,0,1047,1
3694,1075,0,1047,3
3744,1093,0,1064,3
3795,1110,0,1083,1
3845,1137,0,1086,1
3895,1165,0,1092,1
3947,1190,0,1096,1
3998,1200,0,1116,0
4049,1200,0,1144,0
4104,1200,0,1176,0
4155,1200,0,1210,0
4205,1200,0,1235,0
4257,1214,0,1244,1
4307,1231,0,1244,3
4357,1253,0,1247,1
4407,1267,0,1247,1
4459,1290,0,1247,1
4512,1312,0,1247,1
4563,1340,0,1247,1
4617,1375,0,1247,1
4667,1399,0,1255,1
4717,1400,0,1287,0
